YEAR_MONTH,DATE,REGION_NAME,REGION_FULLNAME,APT_SALES_INDEX,APT_JEONSE_INDEX,BOK_BASE_RATE,MORTGAGE_LOAN_RATE,KOSPI_CLOSE,KOSPI_MOM_PCT
201801,2018-01-01,강남구,서울>강남지역>동남권>강남구,70.5078218709688,101.395782979489,1.5,2.85,2427.36,
201801,2018-01-01,강남지역,서울>강남지역,75.1816411519557,97.2420940366647,1.5,2.85,2427.36,
201801,2018-01-01,강북지역,서울>강북지역,86.1704788178225,98.4070968739653,1.5,2.85,2427.36,
201801,2018-01-01,노원구,서울>강북지역>동북권>노원구,93.156722484917,96.2545729702494,1.5,2.85,2427.36,
201801,2018-01-01,대구,대구,113.896147364416,122.861976395293,1.5,2.85,2427.36,
201801,2018-01-01,마포구,서울>강북지역>서북권>마포구,70.8568702292289,93.1394782749269,1.5,2.85,2427.36,
201801,2018-01-01,부산,부산,104.654384827436,105.986021357464,1.5,2.85,2427.36,
201801,2018-01-01,서울,서울,80.0951863668993,97.7767727921062,1.5,2.85,2427.36,
201801,2018-01-01,서초구,서울>강남지역>동남권>서초구,67.0483027002268,93.0478762826275,1.5,2.85,2427.36,
201801,2018-01-01,성남시,경기>경부1권>성남시,68.225371961509,98.2168497298923,1.5,2.85,2427.36,
201801,2018-01-01,성동구,서울>강북지역>동북권>성동구,68.4288840980239,90.06687939891,1.5,2.85,2427.36,
201801,2018-01-01,세종,세종,92.8564528773482,72.4363983585513,1.5,2.85,2427.36,
201801,2018-01-01,송파구,서울>강남지역>동남권>송파구,63.712677809934,92.0616477513676,1.5,2.85,2427.36,
201801,2018-01-01,수도권,수도권,82.5712250294497,98.5606855432007,1.5,2.85,2427.36,
201801,2018-01-01,수원시,경기>경부2권>수원시,73.4361728814999,94.1365391735114,1.5,2.85,2427.36,
201801,2018-01-01,용산구,서울>강북지역>도심권>용산구,70.8121318353993,95.2739615009813,1.5,2.85,2427.36,
201801,2018-01-01,전국,전국,92.6426008169824,101.101757167508,1.5,2.85,2427.36,
201801,2018-01-01,종로구,서울>강북지역>도심권>종로구,87.0324533173738,100.146435429321,1.5,2.85,2427.36,
201802,2018-02-01,강남구,서울>강남지역>동남권>강남구,72.2353093077847,101.362737304434,1.5,2.85,2445.85,0.76
201802,2018-02-01,강남지역,서울>강남지역,76.5143633457394,97.434547926258,1.5,2.85,2445.85,0.76
201802,2018-02-01,강북지역,서울>강북지역,86.9700394272721,98.6040376273627,1.5,2.85,2445.85,0.76
201802,2018-02-01,노원구,서울>강북지역>동북권>노원구,93.4634710484598,96.2118942580962,1.5,2.85,2445.85,0.76
201802,2018-02-01,대구,대구,114.075692977744,122.870675642052,1.5,2.85,2445.85,0.76
201802,2018-02-01,마포구,서울>강북지역>서북권>마포구,72.1172043720025,93.443849538346,1.5,2.85,2445.85,0.76
201802,2018-02-01,부산,부산,104.428375865401,105.820383872594,1.5,2.85,2445.85,0.76
201802,2018-02-01,서울,서울,81.2046309746765,97.9712767480231,1.5,2.85,2445.85,0.76
201802,2018-02-01,서초구,서울>강남지역>동남권>서초구,68.708096823899,93.0702201282406,1.5,2.85,2445.85,0.76
201802,2018-02-01,성남시,경기>경부1권>성남시,70.1122788590516,98.4943665061164,1.5,2.85,2445.85,0.76
